DATE,STATE_CD,PREDICTION
8/16/2020,DL,710
8/16/2020,DN,65
8/16/2020,GA,476
8/16/2020,GJ,1509
8/16/2020,HP,137
8/16/2020,HR,1308
8/16/2020,JH,1718
8/16/2020,JK,649
8/16/2020,KA,7867
8/16/2020,KL,1327
8/16/2020,LA,12
8/16/2020,MH,9661
8/16/2020,ML,31
8/16/2020,MN,179
8/16/2020,MP,1379
8/16/2020,MZ,65
8/16/2020,NL,93
8/16/2020,OR,1788
8/16/2020,PB,1144
8/16/2020,PY,260
8/16/2020,RJ,1459
8/16/2020,SK,28
8/16/2020,TG,1882
8/16/2020,TN,6868
8/16/2020,TR,167
8/16/2020,UP,5512
8/16/2020,UT,428
8/16/2020,WB,3373
8/17/2020,AN,57
8/17/2020,AP,13106
8/17/2020,AR,62
8/17/2020,AS,3787
8/17/2020,BR,4309
8/17/2020,CH,47
8/17/2020,CT,430
8/17/2020,DL,564
8/17/2020,DN,5
8/17/2020,GA,355
8/17/2020,GJ,1243
8/17/2020,HP,87
8/17/2020,HR,1093
8/17/2020,JH,1303
8/17/2020,JK,666
8/17/2020,KA,7762
8/17/2020,KL,1300
8/17/2020,LA,13
8/17/2020,MH,8480
8/17/2020,ML,29
8/17/2020,MN,91
8/17/2020,MP,1364
8/17/2020,MZ,19
8/17/2020,NL,106
8/17/2020,OR,1791
8/17/2020,PB,1057
8/17/2020,PY,278
8/17/2020,RJ,1440
8/17/2020,SK,26
8/17/2020,TG,1982
8/17/2020,TN,6759
8/17/2020,TR,175
8/17/2020,UP,5586
8/17/2020,UT,415
8/17/2020,WB,3283
8/18/2020,AN,65
8/18/2020,AP,13617
8/18/2020,AR,87
8/18/2020,AS,4042
8/18/2020,BR,4804
8/18/2020,CH,44
8/18/2020,CT,581
8/18/2020,DL,419
8/18/2020,DN,50
8/18/2020,GA,488
8/18/2020,GJ,1307
8/18/2020,HP,104
8/18/2020,HR,1272
8/18/2020,JH,1349
8/18/2020,JK,641
8/18/2020,KA,8904
8/18/2020,KL,1373
8/18/2020,LA,25
8/18/2020,MH,9086
8/18/2020,ML,27
8/18/2020,MN,81
8/18/2020,MP,1196
8/18/2020,MZ,12
8/18/2020,NL,106
8/18/2020,OR,1757
8/18/2020,PB,1164
8/18/2020,PY,231
8/18/2020,RJ,1467
8/18/2020,SK,35
8/18/2020,TG,2025
8/18/2020,TN,6644
8/18/2020,TR,172
8/18/2020,UP,6194
8/18/2020,UT,638
8/18/2020,WB,3440
8/19/2020,AN,78
8/19/2020,AP,14118
8/19/2020,AR,93
8/19/2020,AS,3447
8/19/2020,BR,4672
8/19/2020,CH,50
8/19/2020,CT,493
8/19/2020,DL,465
8/19/2020,DN,50
8/19/2020,GA,452
8/19/2020,GJ,1627
8/19/2020,HP,183
8/19/2020,HR,1370
8/19/2020,JH,1376
8/19/2020,JK,667
8/19/2020,KA,8614
8/19/2020,KL,1394
8/19/2020,LA,17
8/19/2020,MH,9101
8/19/2020,ML,25
8/19/2020,MN,173
8/19/2020,MP,1403
8/19/2020,MZ,11
8/19/2020,NL,95
8/19/2020,OR,1808
8/19/2020,PB,1056
8/19/2020,PY,203
8/19/2020,RJ,1501
8/19/2020,SK,33
8/19/2020,TG,2147
8/19/2020,TN,6293
8/19/2020,TR,171
8/19/2020,UP,5660
8/19/2020,UT,440
8/19/2020,WB,3279
8/20/2020,AN,81
8/20/2020,AP,14469
8/20/2020,AR,100
8/20/2020,AS,4835
8/20/2020,BR,4723
8/20/2020,CH,47
8/20/2020,CT,454
8/20/2020,DL,511
8/20/2020,DN,63
8/20/2020,GA,629
8/20/2020,GJ,1642
8/20/2020,HP,248
8/20/2020,HR,1317
8/20/2020,JH,1728
8/20/2020,JK,661
8/20/2020,KA,8656
8/20/2020,KL,1380
8/20/2020,LA,12
8/20/2020,MH,9440
8/20/2020,ML,30
8/20/2020,MN,162
8/20/2020,MP,1525
8/20/2020,MZ,15
8/20/2020,NL,95
8/20/2020,OR,1862
8/20/2020,PB,1227
8/20/2020,PY,280
8/20/2020,RJ,1454
8/20/2020,SK,27
8/20/2020,TG,2144
8/20/2020,TN,6969
8/20/2020,TR,165
8/20/2020,UP,5811
8/20/2020,UT,476
8/20/2020,WB,3320
8/21/2020,AN,84
8/21/2020,AP,14722
8/21/2020,AR,110
8/21/2020,AS,4055
8/21/2020,BR,4695
8/21/2020,CH,46
8/21/2020,CT,734
8/21/2020,DL,454
8/21/2020,DN,72
8/21/2020,GA,652
8/21/2020,GJ,1638
8/21/2020,HP,125
8/21/2020,HR,1396
8/21/2020,JH,1772
8/21/2020,JK,672
8/21/2020,KA,7959
8/21/2020,KL,1457
8/21/2020,LA,17
8/21/2020,MH,8255
8/21/2020,ML,35
8/21/2020,MN,75
8/21/2020,MP,1491
8/21/2020,MZ,0
8/21/2020,NL,101
8/21/2020,OR,2000
8/21/2020,PB,1184
8/21/2020,PY,295
8/21/2020,RJ,1480
8/21/2020,SK,28
8/21/2020,TG,2215
8/21/2020,TN,7022
8/21/2020,TR,178
8/21/2020,UP,5963
8/21/2020,UT,389
8/21/2020,WB,3532
8/22/2020,AN,95
8/22/2020,AP,14883
8/22/2020,AR,104
8/22/2020,AS,3755
8/22/2020,BR,4872
8/22/2020,CH,49
8/22/2020,CT,539
8/22/2020,DL,620
8/22/2020,DN,62
8/22/2020,GA,548
8/22/2020,GJ,3045
8/22/2020,HP,129
8/22/2020,HR,1835
8/22/2020,JH,2003
8/22/2020,JK,680
8/22/2020,KA,8347
8/22/2020,KL,1453
8/22/2020,LA,20
8/22/2020,MH,7759
8/22/2020,ML,36
8/22/2020,MN,255
8/22/2020,MP,1694
8/22/2020,MZ,12
8/22/2020,NL,98
8/22/2020,OR,1932
8/22/2020,PB,1207
8/22/2020,PY,282
8/22/2020,RJ,1522
8/22/2020,SK,28
8/22/2020,TG,2196
8/22/2020,TN,7125
8/22/2020,TR,157
8/22/2020,UP,5879
8/22/2020,UT,437
8/22/2020,WB,3577
8/23/2020,AN,84
8/23/2020,AP,15017
8/23/2020,AR,104
8/23/2020,AS,3245
8/23/2020,BR,5926
8/23/2020,CH,47
8/23/2020,CT,566
8/23/2020,DL,741
8/23/2020,DN,94
8/23/2020,GA,619
8/23/2020,GJ,2606
8/23/2020,HP,185
8/23/2020,HR,1574
8/23/2020,JH,2450
8/23/2020,JK,691
8/23/2020,KA,9102
8/23/2020,KL,1446
8/23/2020,LA,11
8/23/2020,MH,7668
8/23/2020,ML,32
8/23/2020,MN,189
8/23/2020,MP,2444
8/23/2020,MZ,15
8/23/2020,NL,97
8/23/2020,OR,1962
8/23/2020,PB,1523
8/23/2020,PY,362
8/23/2020,RJ,1589
8/23/2020,SK,29
8/23/2020,TG,1979
8/23/2020,TN,7189
8/23/2020,TR,151
8/23/2020,UP,6077
8/23/2020,UT,485
8/23/2020,WB,3601
8/24/2020,AN,122
8/24/2020,AP,14853
8/24/2020,AR,159
8/24/2020,AS,5376
8/24/2020,BR,5293
8/24/2020,CH,50
8/24/2020,CT,703
8/24/2020,DL,590
8/24/2020,DN,65
8/24/2020,GA,782
8/24/2020,GJ,2111
8/24/2020,HP,314
8/24/2020,HR,1645
8/24/2020,JH,2482
8/24/2020,JK,708
8/24/2020,KA,8830
8/24/2020,KL,1418
8/24/2020,LA,12
8/24/2020,MH,9068
8/24/2020,ML,31
8/24/2020,MN,236
8/24/2020,MP,1904
8/24/2020,MZ,13
8/24/2020,NL,110
8/24/2020,OR,1966
8/24/2020,PB,1499
8/24/2020,PY,562
8/24/2020,RJ,1570
8/24/2020,SK,27
8/24/2020,TG,2063
8/24/2020,TN,7079
8/24/2020,TR,151
8/24/2020,UP,6697
8/24/2020,UT,760
8/24/2020,WB,3672
8/25/2020,AN,119
8/25/2020,AP,15386
8/25/2020,AR,159
8/25/2020,AS,5917
8/25/2020,BR,5496
8/25/2020,CH,48
8/25/2020,CT,1442
8/25/2020,DL,712
8/25/2020,DN,81
8/25/2020,GA,897
8/25/2020,GJ,2573
8/25/2020,HP,133
8/25/2020,HR,1595
8/25/2020,JH,3527
8/25/2020,JK,683
8/25/2020,KA,8270
8/25/2020,KL,1492
8/25/2020,LA,24
8/25/2020,MH,8631
8/25/2020,ML,28
8/25/2020,MN,236
8/25/2020,MP,2435
8/25/2020,MZ,105
8/25/2020,NL,110
8/25/2020,OR,1932
8/25/2020,PB,2105
8/25/2020,PY,594
8/25/2020,RJ,1596
8/25/2020,SK,36
8/25/2020,TG,2126
8/25/2020,TN,6965
8/25/2020,TR,162
8/25/2020,UP,6137
8/25/2020,UT,729
8/25/2020,WB,3828
8/26/2020,AN,104
8/26/2020,AP,11278
8/26/2020,AR,133
8/26/2020,AS,5932
8/26/2020,BR,6433
8/26/2020,CH,47
8/26/2020,CT,1025
8/26/2020,DL,835
8/26/2020,DN,73
8/26/2020,GA,768
8/26/2020,GJ,1274
8/26/2020,HP,249
8/26/2020,HR,1345
8/26/2020,JH,2686
8/26/2020,JK,624
8/26/2020,KA,8832
8/26/2020,KL,1302
8/26/2020,LA,16
8/26/2020,MH,9313
8/26/2020,ML,32
8/26/2020,MN,100
8/26/2020,MP,2787
8/26/2020,MZ,173
8/26/2020,NL,101
8/26/2020,OR,1686
8/26/2020,PB,1413
8/26/2020,PY,548
8/26/2020,RJ,1293
8/26/2020,SK,38
8/26/2020,TG,1921
8/26/2020,TN,6456
8/26/2020,TR,153
8/26/2020,UP,5858
8/26/2020,UT,697
8/26/2020,WB,3591
8/27/2020,AN,97
8/27/2020,AP,11253
8/27/2020,AR,116
8/27/2020,AS,5081
8/27/2020,BR,5871
8/27/2020,CH,45
8/27/2020,CT,1029
8/27/2020,DL,408
8/27/2020,DN,72
8/27/2020,GA,782
8/27/2020,GJ,1196
8/27/2020,HP,205
8/27/2020,HR,1112
8/27/2020,JH,2367
8/27/2020,JK,619
8/27/2020,KA,6662
8/27/2020,KL,1290
8/27/2020,LA,10
8/27/2020,MH,7003
8/27/2020,ML,38
8/27/2020,MN,97
8/27/2020,MP,2112
8/27/2020,MZ,15
8/27/2020,NL,101
8/27/2020,OR,1713
8/27/2020,PB,1277
8/27/2020,PY,606
8/27/2020,RJ,1264
8/27/2020,SK,32
8/27/2020,TG,1911
8/27/2020,TN,7040
8/27/2020,TR,156
8/27/2020,UP,5957
8/27/2020,UT,666
8/27/2020,WB,2071
